# file...... wh_1.csv
# date...... Sat Jul  3 15:07:05 2021
# user...... midrar
# host...... (null)
# target.... waterheater 21
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,height,tank_setpoint,waterheater_model,power.real,constant_power,constant_current,water_demand,temperature,is_waterheater_on
2020-01-02 07:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.66,+0
2020-01-02 07:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.047,+0
2020-01-02 07:15:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.932,+0
2020-01-02 07:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.306,+0
2020-01-02 07:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.686,+0
2020-01-02 07:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.073,+0
2020-01-02 07:35:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.959,+0
2020-01-02 07:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.332,+0
2020-01-02 07:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.713,+0
2020-01-02 07:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.1,+0
2020-01-02 07:55:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.986,+0
2020-01-02 08:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.359,+0
2020-01-02 08:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.739,+0
2020-01-02 08:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.126,+0
2020-01-02 08:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.941,+1
2020-01-02 08:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.386,+0
2020-01-02 08:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.766,+0
2020-01-02 08:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.152,+0
2020-01-02 08:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.846,+1
2020-01-02 08:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.403,+0
2020-01-02 08:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.782,+0
2020-01-02 08:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.169,+0
2020-01-02 08:55:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.781,+1
2020-01-02 09:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.419,+0
2020-01-02 09:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.799,+0
2020-01-02 09:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.185,+0
